Date,zone,centre,Price
10-02-93,2,JAIPUR,7.5
10-02-93,2,JODHPUR,7.25
10-02-93,3,GUWAHATI,NA
10-02-93,3,PATNA,6.25
10-02-93,3,SHILLONG,NA
10-02-93,3,AIZAWL,NA
10-02-93,3,BHUBANESHWAR,5
10-02-93,3,CUTTACK,4.8
10-02-93,3,KOLKATA,5.2
10-02-93,3,AGARTALA,NA
10-02-93,4,HYDERABAD,5.5
10-02-93,4,VIJAYAWADA,6
10-02-93,4,BANGALORE,7.5
10-02-93,4,THIRUVANANTHAPURAM,7.3
10-02-93,4,ERNAKULAM,7.4
10-02-93,4,CHENNAI,7
10-02-93,4,MADURAI,NA
10-02-93,4,PONDICHERRY,NA
17-02-93,1,HISAR,NA
17-02-93,1,KARNAL,NA
17-02-93,1,SHIMLA,7.5
17-02-93,1,MANDI,7.2
17-02-93,1,SRINAGAR,NA
17-02-93,1,JAMMU,6
17-02-93,1,AMRITSAR,NA
17-02-93,1,LUDHIANA,NA
17-02-93,1,LUCKNOW,5
17-02-93,1,KANPUR,5.5
17-02-93,1,CHANDIGARH,6.5
17-02-93,1,DELHI,7
17-02-93,2,AHMEDABAD,5.5
17-02-93,2,RAJKOT,6.5
17-02-93,2,PANAJI,6.5
17-02-93,2,BHOPAL,NA
17-02-93,2,INDORE,NA
17-02-93,2,MUMBAI,8
17-02-93,2,NAGPUR,5.6
17-02-93,2,JAIPUR,NA
17-02-93,2,JODHPUR,NA
17-02-93,3,GUWAHATI,6
17-02-93,3,PATNA,NA
17-02-93,3,SHILLONG,NA
17-02-93,3,AIZAWL,NA
17-02-93,3,BHUBANESHWAR,5
17-02-93,3,CUTTACK,4.8
17-02-93,3,KOLKATA,5.2
17-02-93,3,AGARTALA,NA
17-02-93,4,HYDERABAD,5.5
17-02-93,4,VIJAYAWADA,5.2
17-02-93,4,BANGALORE,NA
17-02-93,4,THIRUVANANTHAPURAM,7.3
17-02-93,4,ERNAKULAM,7.5
17-02-93,4,CHENNAI,7
17-02-93,4,MADURAI,5.8
17-02-93,4,PONDICHERRY,NA
24-02-93,1,HISAR,NA
24-02-93,1,KARNAL,6
24-02-93,1,SHIMLA,7.5
24-02-93,1,MANDI,NA
24-02-93,1,SRINAGAR,NA
24-02-93,1,JAMMU,6
24-02-93,1,AMRITSAR,5.75
24-02-93,1,LUDHIANA,5.5
24-02-93,1,LUCKNOW,NA
24-02-93,1,KANPUR,NA
24-02-93,1,CHANDIGARH,NA
24-02-93,1,DELHI,7
24-02-93,2,AHMEDABAD,5.5
24-02-93,2,RAJKOT,6.5
24-02-93,2,PANAJI,6.5
24-02-93,2,BHOPAL,NA
24-02-93,2,INDORE,NA
24-02-93,2,MUMBAI,7.5
24-02-93,2,NAGPUR,5.5
24-02-93,2,JAIPUR,7.5
24-02-93,2,JODHPUR,7.5
24-02-93,3,GUWAHATI,5.8
24-02-93,3,PATNA,NA
24-02-93,3,SHILLONG,NA
24-02-93,3,AIZAWL,NA
24-02-93,3,BHUBANESHWAR,5
24-02-93,3,CUTTACK,4.8
24-02-93,3,KOLKATA,5.2
24-02-93,3,AGARTALA,NA
24-02-93,4,HYDERABAD,5.5
24-02-93,4,VIJAYAWADA,5.2
24-02-93,4,BANGALORE,NA
24-02-93,4,THIRUVANANTHAPURAM,7.3
24-02-93,4,ERNAKULAM,7.3
24-02-93,4,CHENNAI,7
24-02-93,4,MADURAI,5.8
24-02-93,4,PONDICHERRY,NA
03-03-93,1,HISAR,6.5
03-03-93,1,KARNAL,6
03-03-93,1,SHIMLA,7.5
03-03-93,1,MANDI,7.2
03-03-93,1,SRINAGAR,NA
03-03-93,1,JAMMU,6.5
03-03-93,1,AMRITSAR,5.75
03-03-93,1,LUDHIANA,5.4
03-03-93,1,LUCKNOW,NA
03-03-93,1,KANPUR,NA
03-03-93,1,CHANDIGARH,6.5
03-03-93,1,DELHI,7
03-03-93,2,AHMEDABAD,5.4
03-03-93,2,RAJKOT,6.5
03-03-93,2,PANAJI,6.5
03-03-93,2,BHOPAL,NA
03-03-93,2,INDORE,NA
03-03-93,2,MUMBAI,7.4
